Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
0.000000	0.099997	2.459000	37.628000	54.072000	2.099000	57.452000	65.640000	
1.000000	0.099989	2.034000	56.791000	70.155000	1.936000	64.813000	73.096000	
2.000000	0.099976	1.904000	63.751000	75.417000	1.786000	72.538000	78.849000	
3.000000	0.099957	1.830000	67.999000	78.491000	1.771000	73.945000	80.186000	
4.000000	0.099932	1.775000	71.306000	80.812000	1.670000	76.147000	83.185000	
5.000000	0.099902	1.744000	73.211000	82.105000	1.640000	77.824000	84.684000	
6.000000	0.099867	1.717000	74.751000	83.327000	1.740000	72.398000	79.781000	
7.000000	0.099826	1.690000	75.981000	84.090000	1.657000	76.841000	83.468000	
8.000000	0.099780	1.666000	77.532000	85.108000	1.608000	80.748000	86.345000	
9.000000	0.099729	1.645000	78.988000	86.207000	1.594000	82.609000	87.439000	
10.000000	0.099672	1.642000	79.326000	86.136000	1.557000	83.814000	88.614000	
11.000000	0.099610	1.631000	79.840000	86.930000	1.527000	84.933000	89.992000	
12.000000	0.099542	1.610000	81.620000	87.887000	1.523000	84.455000	89.465000	
13.000000	0.099469	1.611000	81.016000	87.429000	1.557000	82.951000	88.250000	
14.000000	0.099391	1.596000	82.193000	88.294000	1.548000	83.702000	88.452000	
15.000000	0.099307	1.584000	82.715000	88.569000	1.597000	79.588000	85.697000	
16.000000	0.099218	1.581000	82.727000	88.752000	1.537000	84.601000	88.128000	
17.000000	0.099123	1.571000	83.602000	89.118000	1.559000	83.131000	88.047000	
18.000000	0.099023	1.563000	83.806000	89.129000	1.537000	84.011000	88.736000	
19.000000	0.098918	1.562000	84.409000	89.709000	1.522000	84.744000	88.817000	
20.000000	0.098808	1.560000	83.809000	89.465000	1.520000	84.042000	89.587000	
21.000000	0.098692	1.547000	85.550000	90.411000	1.504000	86.371000	90.357000	
22.000000	0.098571	1.542000	84.960000	90.248000	1.497000	86.123000	90.438000	
23.000000	0.098445	1.544000	85.746000	90.472000	1.510000	85.569000	89.911000	
24.000000	0.098313	1.542000	85.176000	90.157000	1.486000	86.609000	91.126000	
25.000000	0.098177	1.538000	85.432000	90.309000	1.533000	85.319000	87.561000	
26.000000	0.098035	1.531000	85.642000	90.615000	1.485000	86.850000	91.207000	
27.000000	0.097887	1.529000	86.126000	90.798000	1.504000	85.775000	89.992000	
28.000000	0.097735	1.526000	86.263000	90.890000	1.511000	85.035000	89.830000	
29.000000	0.097577	1.519000	86.027000	90.768000	1.480000	86.739000	90.357000	
30.000000	0.097415	1.518000	87.103000	91.460000	1.506000	83.927000	89.587000	
31.000000	0.097247	1.521000	86.484000	91.134000	1.515000	87.031000	89.100000	
32.000000	0.097074	1.513000	87.272000	91.663000	1.493000	86.619000	90.640000	
33.000000	0.096895	1.516000	86.702000	91.185000	1.518000	84.393000	89.100000	
34.000000	0.096712	1.507000	87.087000	91.531000	1.498000	85.563000	89.546000	
35.000000	0.096524	1.509000	87.090000	91.470000	1.492000	87.726000	89.749000	
36.000000	0.096331	1.506000	87.333000	91.582000	1.529000	85.106000	88.574000	
37.000000	0.096132	1.502000	88.105000	92.193000	1.502000	84.990000	89.951000	
38.000000	0.095929	1.504000	86.916000	91.450000	1.500000	87.300000	90.032000	
39.000000	0.095721	1.499000	87.655000	91.857000	1.498000	84.820000	89.546000	
40.000000	0.095507	1.499000	87.750000	92.081000	1.477000	86.180000	90.964000	
41.000000	0.095289	1.490000	88.268000	92.386000	1.497000	85.811000	90.113000	
42.000000	0.095066	1.485000	88.483000	92.447000	1.506000	85.258000	89.749000	
43.000000	0.094838	1.493000	88.518000	92.345000	1.541000	84.053000	87.601000	
44.000000	0.094605	1.492000	88.192000	92.264000	1.508000	84.776000	88.817000	
45.000000	0.094367	1.488000	88.816000	92.508000	1.516000	86.819000	88.655000	
46.000000	0.094125	1.493000	88.252000	92.305000	1.541000	85.878000	87.844000	
47.000000	0.093877	1.479000	89.366000	92.895000	1.489000	85.455000	90.316000	
48.000000	0.093625	1.484000	88.634000	92.579000	1.504000	85.522000	88.695000	
49.000000	0.093368	1.482000	88.710000	92.651000	1.495000	84.973000	89.222000	
50.000000	0.093107	1.478000	89.007000	92.844000	1.478000	86.509000	90.924000	
51.000000	0.092841	1.477000	88.952000	92.773000	1.497000	86.110000	89.100000	
52.000000	0.092570	1.472000	89.201000	93.099000	1.545000	84.335000	87.925000	
53.000000	0.092294	1.473000	89.463000	92.925000	1.485000	86.852000	89.668000	
54.000000	0.092014	1.470000	90.045000	93.343000	1.487000	85.426000	90.478000	
