Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
0.000000	0.009999	2.538000	15.099000	20.084000	2.331000	19.010000	26.475000	
1.000000	0.009998	2.349000	21.669000	29.152000	2.244000	26.166000	32.373000	
2.000000	0.009995	2.211000	28.061000	36.649000	2.053000	36.171000	44.310000	
3.000000	0.009990	2.095000	34.127000	43.144000	1.966000	42.164000	50.347000	
4.000000	0.009985	2.018000	40.751000	49.377000	1.903000	42.951000	51.839000	
5.000000	0.009978	1.934000	45.305000	53.555000	1.792000	51.282000	59.438000	
6.000000	0.009970	1.870000	49.763000	57.795000	1.770000	55.047000	61.867000	
7.000000	0.009961	1.824000	52.873000	60.621000	1.745000	57.749000	62.422000	
8.000000	0.009951	1.780000	55.642000	62.825000	1.720000	59.291000	63.532000	
9.000000	0.009939	1.741000	57.484000	64.422000	1.669000	61.285000	66.378000	
10.000000	0.009926	1.706000	60.525000	66.907000	1.644000	63.755000	68.563000	
11.000000	0.009912	1.673000	62.614000	68.592000	1.636000	62.759000	67.488000	
12.000000	0.009897	1.644000	64.406000	70.181000	1.595000	65.845000	70.541000	
13.000000	0.009881	1.620000	66.317000	71.989000	1.596000	64.543000	70.090000	
14.000000	0.009863	1.594000	68.174000	73.341000	1.561000	69.095000	73.005000	
15.000000	0.009844	1.566000	70.387000	74.561000	1.580000	68.435000	71.999000	
16.000000	0.009825	1.547000	71.659000	75.632000	1.552000	69.376000	73.699000	
17.000000	0.009803	1.525000	72.773000	76.835000	1.538000	71.052000	74.254000	
18.000000	0.009781	1.512000	74.340000	77.651000	1.510000	72.343000	75.330000	
19.000000	0.009758	1.492000	75.219000	78.678000	1.585000	69.797000	72.241000	
20.000000	0.009733	1.468000	76.989000	79.872000	1.466000	75.306000	77.793000	
21.000000	0.009707	1.456000	77.971000	80.811000	1.510000	74.136000	75.781000	
22.000000	0.009680	1.450000	78.393000	81.092000	1.523000	74.716000	75.885000	
23.000000	0.009652	1.436000	79.101000	81.777000	1.456000	76.793000	79.251000	
24.000000	0.009623	1.411000	80.820000	83.287000	1.435000	76.728000	79.251000	
25.000000	0.009593	1.402000	81.522000	83.883000	1.504000	73.890000	76.405000	
26.000000	0.009561	1.389000	82.112000	84.524000	1.444000	76.718000	78.938000	
27.000000	0.009529	1.373000	83.487000	85.341000	1.439000	77.622000	80.257000	
28.000000	0.009495	1.372000	82.967000	85.068000	1.557000	69.751000	72.797000	
29.000000	0.009460	1.363000	84.397000	86.157000	1.414000	77.560000	80.014000	
30.000000	0.009425	1.349000	84.980000	86.780000	1.475000	75.081000	77.516000	
31.000000	0.009388	1.329000	85.681000	87.553000	1.428000	76.810000	79.806000	
32.000000	0.009350	1.330000	86.470000	87.790000	1.462000	76.495000	78.452000	
33.000000	0.009311	1.317000	86.885000	88.413000	1.428000	77.505000	80.049000	
34.000000	0.009271	1.309000	87.476000	88.659000	1.415000	79.134000	81.090000	
35.000000	0.009229	1.297000	88.201000	89.422000	1.447000	76.512000	79.840000	
36.000000	0.009187	1.300000	87.979000	89.431000	1.393000	79.833000	81.957000	
37.000000	0.009144	1.281000	89.141000	90.370000	1.414000	78.302000	80.847000	
